high_school_original,high_school_standardized,state,confidence,source,nces_id,player_count,canonical_player_count,city,notes
Aberdeen HS,Aberdeen HS,Maryland,high_auto,duplicate_resolution,,4.0,4.0,,
Aberdeen High School,Aberdeen HS,Maryland,high_auto,duplicate_resolution,,2.0,4.0,,
Aberdeen Central HS,Aberdeen Central HS,SD.,high_auto,duplicate_resolution,,4.0,4.0,,
Aberdeen Central H.S.,Aberdeen Central HS,SD.,high_auto,duplicate_resolution,,3.0,4.0,,
Abernathy H.S.,Abernathy HS,Texas,high_auto,duplicate_resolution,,1.0,1.0,,
Abernathy HS,Abernathy HS,Texas,high_auto,duplicate_resolution,,1.0,1.0,,
Abington,Abington,Pennsylvania,high_auto,duplicate_resolution,,18.0,18.0,,
Abington HS,Abington,Pennsylvania,high_auto,duplicate_resolution,,4.0,18.0,,
Abraham Lincoln HS,Abraham Lincoln High School,New York,high_auto,duplicate_resolution,,1.0,1.0,,
Abraham Lincoln High School,Abraham Lincoln High School,New York,high_auto,duplicate_resolution,,1.0,1.0,,
Absegami,Absegami,NJ.,high_auto,duplicate_resolution,,7.0,7.0,,
Absegami HS,Absegami,NJ.,high_auto,duplicate_resolution,,1.0,7.0,,
AC Flora HS,AC Flora HS,SC.,high_auto,duplicate_resolution,,5.0,5.0,,
AC Flora High School,AC Flora HS,SC.,high_auto,duplicate_resolution,,3.0,5.0,,
A.C. Flora High School,AC Flora HS,SC.,high_auto,duplicate_resolution,,1.0,5.0,,
A.C. Jones,A.C. Jones HS,Texas,high_auto,duplicate_resolution,,2.0,2.0,,
A.C. Jones HS,A.C. Jones HS,Texas,high_auto,duplicate_resolution,,2.0,2.0,,
A.C Jones High School,A.C. Jones HS,Texas,high_auto,duplicate_resolution,,1.0,2.0,,
AC Jones,A.C. Jones HS,Texas,high_auto,duplicate_resolution,,1.0,2.0,,
A.C. Reynolds,A.C. Reynolds,NC.,high_auto,duplicate_resolution,,3.0,3.0,,
A.C. Reynolds HS,A.C. Reynolds,NC.,high_auto,duplicate_resolution,,2.0,3.0,,
A.C. Reynolds High School,A.C. Reynolds,NC.,high_auto,duplicate_resolution,,1.0,3.0,,
Academy of Holy Angels,Academy of Holy Angels,Minn,high_auto,duplicate_resolution,,14.0,14.0,,
Academy of Holy Angels HS,Academy of Holy Angels,Minn,high_auto,duplicate_resolution,,1.0,14.0,,
Academy of the Holy Names,Academy of the Holy Names,NY.,high_auto,duplicate_resolution,,7.0,7.0,,
Academy of The Holy Names,Academy of the Holy Names,NY.,high_auto,duplicate_resolution,,1.0,7.0,,
Adairsville,Adairsville,Georgia,high_auto,duplicate_resolution,,5.0,5.0,,
Adairsville HS,Adairsville,Georgia,high_auto,duplicate_resolution,,1.0,5.0,,
Africentric,Africentric,Ohio,high_auto,duplicate_resolution,,6.0,6.0,,
Africentric HS,Africentric,Ohio,high_auto,duplicate_resolution,,1.0,6.0,,
Air Academy,Air Academy,Colo,high_auto,duplicate_resolution,,8.0,8.0,,
Air Academy HS,Air Academy,Colo,high_auto,duplicate_resolution,,3.0,8.0,,
Air Academy H.S.,Air Academy,Colo,high_auto,duplicate_resolution,,2.0,8.0,,
Aitkin,Aitkin,Minn,high_auto,duplicate_resolution,,2.0,2.0,,
Aitkin HS,Aitkin,Minn,high_auto,duplicate_resolution,,1.0,2.0,,
Akins,Akins HS,Texas,high_auto,duplicate_resolution,,3.0,3.0,,
Akins HS,Akins HS,Texas,high_auto,duplicate_resolution,,3.0,3.0,,
Akron,Akron,Colo,high_auto,duplicate_resolution,,1.0,1.0,,
Akron H.S.,Akron,Colo,high_auto,duplicate_resolution,,1.0,1.0,,
Akron-Westfield,Akron-Westfield,Iowa,high_auto,duplicate_resolution,,2.0,2.0,,
Akron-Westfield H.S.,Akron-Westfield,Iowa,high_auto,duplicate_resolution,,2.0,2.0,,
Alameda,Alameda HS,Calif,high_auto,duplicate_resolution,,9.0,9.0,,
Alameda HS,Alameda HS,Calif,high_auto,duplicate_resolution,,9.0,9.0,,
Albany High School,Albany High School,Louisiana,high_auto,duplicate_resolution,,6.0,6.0,,
Albany HS,Albany High School,Louisiana,high_auto,duplicate_resolution,,5.0,6.0,,
Albemarle,Albemarle,Virginia,high_auto,duplicate_resolution,,3.0,3.0,,
Albemarle HS,Albemarle,Virginia,high_auto,duplicate_resolution,,1.0,3.0,,
Albertus Magnus,Albertus Magnus,NY.,high_auto,duplicate_resolution,,14.0,14.0,,
Albertus Magnus HS,Albertus Magnus,NY.,high_auto,duplicate_resolution,,2.0,14.0,,
Albuquerque,Albuquerque HS,NM.,high_auto,duplicate_resolution,,1.0,1.0,,
Albuquerque HS,Albuquerque HS,NM.,high_auto,duplicate_resolution,,1.0,1.0,,
Alburnett,Alburnett,Iowa,high_auto,duplicate_resolution,,3.0,3.0,,
Alburnett HS,Alburnett,Iowa,high_auto,duplicate_resolution,,1.0,3.0,,
Alcoa,Alcoa,Tenn,high_auto,duplicate_resolution,,7.0,7.0,,
Alcoa H.S.,Alcoa,Tenn,high_auto,duplicate_resolution,,2.0,7.0,,
Alcoa HS,Alcoa,Tenn,high_auto,duplicate_resolution,,2.0,7.0,,
Alcovy,Alcovy High School,Georgia,high_auto,duplicate_resolution,,2.0,2.0,,
Alcovy High School,Alcovy High School,Georgia,high_auto,duplicate_resolution,,2.0,2.0,,
Alemany High School,Alemany High School,Calif,high_auto,duplicate_resolution,,2.0,2.0,,
Alemany,Alemany High School,Calif,high_auto,duplicate_resolution,,1.0,2.0,,
Alexandria,Alexandria,Minn,high_auto,duplicate_resolution,,8.0,8.0,,
Alexandria HS,Alexandria,Minn,high_auto,duplicate_resolution,,2.0,8.0,,
Algonquin Regional,Algonquin Regional,Mass,high_auto,duplicate_resolution,,8.0,8.0,,
Algonquin Regional HS,Algonquin Regional,Mass,high_auto,duplicate_resolution,,2.0,8.0,,
Alief Hastings,Alief Hastings HS,Texas,high_auto,duplicate_resolution,,2.0,2.0,,
Alief Hastings HS,Alief Hastings HS,Texas,high_auto,duplicate_resolution,,2.0,2.0,,
All Saints Episcopal HS,All Saints Episcopal HS,Texas,high_auto,duplicate_resolution,,2.0,2.0,,
All Saints Episcopal,All Saints Episcopal HS,Texas,high_auto,duplicate_resolution,,2.0,2.0,,
Allegany,Allegany,Maryland,high_auto,duplicate_resolution,,2.0,2.0,,
Allegany High School,Allegany,Maryland,high_auto,duplicate_resolution,,1.0,2.0,,
Allen HS,Allen HS,Texas,high_auto,duplicate_resolution,,28.0,28.0,,
Allen,Allen HS,Texas,high_auto,duplicate_resolution,,14.0,28.0,,
Allen High School,Allen HS,Texas,high_auto,duplicate_resolution,,8.0,28.0,,
Allen H.S.,Allen HS,Texas,high_auto,duplicate_resolution,,5.0,28.0,,
Alpharetta High School,Alpharetta High School,Georgia,high_auto,duplicate_resolution,,5.0,5.0,,
Alpharetta HS,Alpharetta High School,Georgia,high_auto,duplicate_resolution,,3.0,5.0,,
Alpharetta,Alpharetta High School,Georgia,high_auto,duplicate_resolution,,3.0,5.0,,
Alta HS,Alta HS,Utah,high_auto,duplicate_resolution,,3.0,3.0,,
Alta,Alta HS,Utah,high_auto,duplicate_resolution,,2.0,3.0,,
Alta H.S.,Alta HS,Utah,high_auto,duplicate_resolution,,1.0,3.0,,
Althoff Catholic,Althoff Catholic,Ill,high_auto,duplicate_resolution,,3.0,3.0,,
Althoff Catholic HS,Althoff Catholic,Ill,high_auto,duplicate_resolution,,2.0,3.0,,
Altoona Area,Altoona Area,Pennsylvania,high_auto,duplicate_resolution,,10.0,10.0,,
Altoona Area HS,Altoona Area,Pennsylvania,high_auto,duplicate_resolution,,3.0,10.0,,
Alva HS,Alva HS,Okla,high_auto,duplicate_resolution,,8.0,8.0,,
Alva,Alva HS,Okla,high_auto,duplicate_resolution,,6.0,8.0,,
Amarillo,Amarillo HS,Texas,high_auto,duplicate_resolution,,11.0,11.0,,
Amarillo HS,Amarillo HS,Texas,high_auto,duplicate_resolution,,11.0,11.0,,
Amarillo H.S.,Amarillo HS,Texas,high_auto,duplicate_resolution,,2.0,11.0,,
Amboy,Amboy,Ill,high_auto,duplicate_resolution,,10.0,10.0,,
Amboy HS,Amboy,Ill,high_auto,duplicate_resolution,,1.0,10.0,,
American HS,American HS,California,high_auto,duplicate_resolution,,7.0,7.0,,
American,American HS,California,high_auto,duplicate_resolution,,1.0,7.0,,
American Heritage,American Heritage,Fla,high_auto,duplicate_resolution,,19.0,19.0,,
American Heritage HS,American Heritage,Fla,high_auto,duplicate_resolution,,6.0,19.0,,
Americas,Americas HS,Texas,high_auto,duplicate_resolution,,4.0,4.0,,
Americas HS,Americas HS,Texas,high_auto,duplicate_resolution,,4.0,4.0,,
Ames,Ames,Iowa,high_auto,duplicate_resolution,,8.0,8.0,,
Ames HS,Ames,Iowa,high_auto,duplicate_resolution,,2.0,8.0,,
Ames High School,Ames,Iowa,high_auto,duplicate_resolution,,2.0,8.0,,
Amherst Steele,Amherst Steele,Ohio,high_auto,duplicate_resolution,,4.0,4.0,,
Amherst Steele HS,Amherst Steele,Ohio,high_auto,duplicate_resolution,,1.0,4.0,,
Amity Regional HS,Amity Regional High School,Connecticut,high_auto,duplicate_resolution,,2.0,2.0,,
Amity Regional High School,Amity Regional High School,Connecticut,high_auto,duplicate_resolution,,2.0,2.0,,
Amundsen,Amundsen,Ill,high_auto,duplicate_resolution,,4.0,4.0,,
Amundsen High School,Amundsen,Ill,high_auto,duplicate_resolution,,1.0,4.0,,
Anadarko HS,Anadarko HS,Okla,high_auto,duplicate_resolution,,13.0,13.0,,
Anadarko,Anadarko HS,Okla,high_auto,duplicate_resolution,,3.0,13.0,,
Anchorage Christian HS,Anchorage Christian HS,Alaska,high_auto,duplicate_resolution,,5.0,5.0,,
Anchorage Christian,Anchorage Christian HS,Alaska,high_auto,duplicate_resolution,,4.0,5.0,,
Anchorage Christian High School,Anchorage Christian HS,Alaska,high_auto,duplicate_resolution,,1.0,5.0,,
Anderson County,Anderson County,Kentucky,high_auto,duplicate_resolution,,3.0,3.0,,
Anderson County High School,Anderson County,Kentucky,high_auto,duplicate_resolution,,1.0,3.0,,
Andover HS,Andover HS,Minn,high_auto,duplicate_resolution,,24.0,24.0,,
Andover,Andover HS,Minn,high_auto,duplicate_resolution,,17.0,24.0,,
Andover Central HS,Andover Central HS,Kan,high_auto,duplicate_resolution,,11.0,11.0,,
Andover Central,Andover Central HS,Kan,high_auto,duplicate_resolution,,6.0,11.0,,
Andrean,Andrean,Ind,high_auto,duplicate_resolution,,8.0,8.0,,
Andrean HS,Andrean,Ind,high_auto,duplicate_resolution,,2.0,8.0,,
Andress HS,Andress HS,Texas,high_auto,duplicate_resolution,,13.0,13.0,,
Andress H.S.,Andress HS,Texas,high_auto,duplicate_resolution,,3.0,13.0,,
Andrews,Andrews HS,Texas,high_auto,duplicate_resolution,,2.0,2.0,,
Andrews HS,Andrews HS,Texas,high_auto,duplicate_resolution,,2.0,2.0,,
Animas HS,Animas HS,New Mexico,high_auto,duplicate_resolution,,2.0,2.0,,
Animas H.S,Animas HS,New Mexico,high_auto,duplicate_resolution,,1.0,2.0,,
Ankeny HS,Ankeny HS,Iowa,high_auto,duplicate_resolution,,3.0,3.0,,
Ankeny,Ankeny HS,Iowa,high_auto,duplicate_resolution,,1.0,3.0,,
Ankeny Centennial,Ankeny Centennial,Iowa,high_auto,duplicate_resolution,,16.0,16.0,,
Ankeny Centennial HS,Ankeny Centennial,Iowa,high_auto,duplicate_resolution,,6.0,16.0,,
Ankeny Centennial High School,Ankeny Centennial,Iowa,high_auto,duplicate_resolution,,2.0,16.0,,
Annawan,Annawan,Ill,high_auto,duplicate_resolution,,2.0,2.0,,
Annawan HS,Annawan,Ill,high_auto,duplicate_resolution,,1.0,2.0,,
Anniston HS,Anniston HS,Ala,high_auto,duplicate_resolution,,7.0,7.0,,
Anniston High School,Anniston HS,Ala,high_auto,duplicate_resolution,,1.0,7.0,,
Anoka,Anoka HS,Minn,high_auto,duplicate_resolution,,3.0,3.0,,
Anoka HS,Anoka HS,Minn,high_auto,duplicate_resolution,,3.0,3.0,,
Anthony Wayne,Anthony Wayne,Ohio,high_auto,duplicate_resolution,,10.0,10.0,,
Anthony Wayne H.S.,Anthony Wayne,Ohio,high_auto,duplicate_resolution,,2.0,10.0,,
Apex Friendship,Apex Friendship,NC.,high_auto,duplicate_resolution,,7.0,7.0,,
Apex Friendship H.S.,Apex Friendship,NC.,high_auto,duplicate_resolution,,2.0,7.0,,
Apex Friendship High School,Apex Friendship,NC.,high_auto,duplicate_resolution,,2.0,7.0,,
Apopka,Apopka,Fla,high_auto,duplicate_resolution,,9.0,9.0,,
Apopka HS,Apopka,Fla,high_auto,duplicate_resolution,,7.0,9.0,,
Apple Valley,Apple Valley,Minn,high_auto,duplicate_resolution,,20.0,20.0,,
Apple Valley HS,Apple Valley,Minn,high_auto,duplicate_resolution,,6.0,20.0,,
Appleton East HS,Appleton East HS,Wis,high_auto,duplicate_resolution,,10.0,10.0,,
Appleton East,Appleton East HS,Wis,high_auto,duplicate_resolution,,5.0,10.0,,
Appleton East H.S.,Appleton East HS,Wis,high_auto,duplicate_resolution,,1.0,10.0,,
Appleton West,Appleton West,Wisconsin,high_auto,duplicate_resolution,,12.0,12.0,,
Appleton West High School,Appleton West,Wisconsin,high_auto,duplicate_resolution,,3.0,12.0,,
Aquinas,Aquinas,Wis,high_auto,duplicate_resolution,,17.0,17.0,,
Aquinas HS,Aquinas,Wis,high_auto,duplicate_resolution,,4.0,17.0,,
Arabia Mountain HS,Arabia Mountain HS,Georgia,high_auto,duplicate_resolution,,14.0,14.0,,
Arabia Mountain,Arabia Mountain HS,Georgia,high_auto,duplicate_resolution,,2.0,14.0,,
Arabia Mountain High School,Arabia Mountain HS,Georgia,high_auto,duplicate_resolution,,2.0,14.0,,
Aragon HS,Aragon HS,Calif,high_auto,duplicate_resolution,,6.0,6.0,,
Aragon High School,Aragon HS,Calif,high_auto,duplicate_resolution,,5.0,6.0,,
Aragon,Aragon HS,Calif,high_auto,duplicate_resolution,,1.0,6.0,,
Arapahoe,Arapahoe,Colo,high_auto,duplicate_resolution,,12.0,12.0,,
Arapahoe HS,Arapahoe,Colo,high_auto,duplicate_resolution,,7.0,12.0,,
Arbor Prep,Arbor Prep,Mich,high_auto,duplicate_resolution,,13.0,13.0,,
Arbor Prep HS,Arbor Prep,Mich,high_auto,duplicate_resolution,,6.0,13.0,,
Arbor Preparatory HS,Arbor Preparatory HS,Mich,high_auto,duplicate_resolution,,6.0,6.0,,
Arbor Preparatory,Arbor Preparatory HS,Mich,high_auto,duplicate_resolution,,2.0,6.0,,
Arcadia,Arcadia,Wis,high_auto,duplicate_resolution,,17.0,17.0,,
Arcadia High School,Arcadia,Wis,high_auto,duplicate_resolution,,3.0,17.0,,
Arcanum,Arcanum,Ohio,high_auto,duplicate_resolution,,5.0,5.0,,
Arcanum H.S.,Arcanum,Ohio,high_auto,duplicate_resolution,,3.0,5.0,,
Archbishop Alter,Archbishop Alter,Ohio,high_auto,duplicate_resolution,,5.0,5.0,,
Archbishop Alter H.S.,Archbishop Alter,Ohio,high_auto,duplicate_resolution,,1.0,5.0,,
Archbishop Hoban,Archbishop Hoban,Ohio,high_auto,duplicate_resolution,,22.0,22.0,,
Archbishop Hoban High School,Archbishop Hoban,Ohio,high_auto,duplicate_resolution,,3.0,22.0,,
Archbishop Hoban HS,Archbishop Hoban,Ohio,high_auto,duplicate_resolution,,2.0,22.0,,
Archbishop John Carroll,Archbishop John Carroll,Pennsylvania,high_auto,duplicate_resolution,,6.0,6.0,,
Archbishop John Carroll High School,Archbishop John Carroll,Pennsylvania,high_auto,duplicate_resolution,,3.0,6.0,,
Archbishop Mitty,Archbishop Mitty,Calif,high_auto,duplicate_resolution,,44.0,44.0,,
Archbishop Mitty HS,Archbishop Mitty,Calif,high_auto,duplicate_resolution,,37.0,44.0,,
Archbishop Molloy,Archbishop Molloy,NY.,high_auto,duplicate_resolution,,10.0,10.0,,
Archbishop Molloy HS,Archbishop Molloy,NY.,high_auto,duplicate_resolution,,4.0,10.0,,
Archbishop Molloy High School,Archbishop Molloy,NY.,high_auto,duplicate_resolution,,3.0,10.0,,
Archbishop Molloy H.S.,Archbishop Molloy,NY.,high_auto,duplicate_resolution,,2.0,10.0,,
Archbishop Murphy,Archbishop Murphy,Wash,high_auto,duplicate_resolution,,6.0,6.0,,
Archbishop Murphy High School,Archbishop Murphy,Wash,high_auto,duplicate_resolution,,1.0,6.0,,
Archbishop Williams,Archbishop Williams,Mass,high_auto,duplicate_resolution,,22.0,22.0,,
Archbishop Williams (Stony Brook),Archbishop Williams,Mass,high_auto,duplicate_resolution,,1.0,22.0,,
Archer,Archer,Georgia,high_auto,duplicate_resolution,,7.0,7.0,,
Archer High School,Archer,Georgia,high_auto,duplicate_resolution,,4.0,7.0,,
Archer HS,Archer,Georgia,high_auto,duplicate_resolution,,4.0,7.0,,
Ardrey Kell,Ardrey Kell,NC.,high_auto,duplicate_resolution,,15.0,15.0,,
Ardrey Kell HS,Ardrey Kell,NC.,high_auto,duplicate_resolution,,6.0,15.0,,
Argyle,Argyle,Texas,high_auto,duplicate_resolution,,14.0,14.0,,
Argyle HS,Argyle,Texas,high_auto,duplicate_resolution,,6.0,14.0,,
Arlington HS,Arlington HS,Tenn,high_auto,duplicate_resolution,,20.0,20.0,,
Arlington High School,Arlington HS,Tenn,high_auto,duplicate_resolution,,11.0,20.0,,
Arlington Heights HS,Arlington Heights HS,Texas,high_auto,duplicate_resolution,,6.0,6.0,,
Arlington Heights,Arlington Heights HS,Texas,high_auto,duplicate_resolution,,3.0,6.0,,
Arlington Martin HS,Arlington Martin HS,Texas,high_auto,duplicate_resolution,,5.0,5.0,,
Arlington Martin,Arlington Martin HS,Texas,high_auto,duplicate_resolution,,4.0,5.0,,
Armwood HS,Armwood HS,Fla,high_auto,duplicate_resolution,,5.0,5.0,,
Armwood H.S.,Armwood HS,Fla,high_auto,duplicate_resolution,,3.0,5.0,,
Armwood,Armwood HS,Fla,high_auto,duplicate_resolution,,2.0,5.0,,
Arrowhead,Arrowhead,Wis,high_auto,duplicate_resolution,,16.0,16.0,,
Arrowhead HS,Arrowhead,Wis,high_auto,duplicate_resolution,,4.0,16.0,,
Arvada West,Arvada West,Colo,high_auto,duplicate_resolution,,3.0,3.0,,
Arvada West HS,Arvada West,Colo,high_auto,duplicate_resolution,,1.0,3.0,,
Ashbrook,Ashbrook,NC.,high_auto,duplicate_resolution,,4.0,4.0,,
Ashbrook HS,Ashbrook,NC.,high_auto,duplicate_resolution,,3.0,4.0,,
Ashe County,Ashe County,NC.,high_auto,duplicate_resolution,,5.0,5.0,,
Ashe County HS,Ashe County,NC.,high_auto,duplicate_resolution,,1.0,5.0,,
Asheboro H.S.,Asheboro H.S.,NC.,high_auto,duplicate_resolution,,3.0,3.0,,
Asheboro,Asheboro H.S.,NC.,high_auto,duplicate_resolution,,2.0,3.0,,
Asheboro High School,Asheboro H.S.,NC.,high_auto,duplicate_resolution,,1.0,3.0,,
Ashland,Ashland,Mass,high_auto,duplicate_resolution,,7.0,7.0,,
Ashland High School,Ashland,Mass,high_auto,duplicate_resolution,,2.0,7.0,,
Assumption,Assumption,Kentucky,high_auto,duplicate_resolution,,11.0,11.0,,
Assumption HS,Assumption,Kentucky,high_auto,duplicate_resolution,,9.0,11.0,,
Atascocita HS,Atascocita HS,Texas,high_auto,duplicate_resolution,,14.0,14.0,,
Atascocita,Atascocita HS,Texas,high_auto,duplicate_resolution,,3.0,14.0,,
Athens Drive,Athens Drive,NC.,high_auto,duplicate_resolution,,4.0,4.0,,
Athens Drive H.S.,Athens Drive,NC.,high_auto,duplicate_resolution,,2.0,4.0,,
Athens Drive HS,Athens Drive,NC.,high_auto,duplicate_resolution,,1.0,4.0,,
Atkins HS,Atkins HS,NC.,high_auto,duplicate_resolution,,4.0,4.0,,
Atkins,Atkins HS,NC.,high_auto,duplicate_resolution,,2.0,4.0,,
Atlantic City,Atlantic City,NJ.,high_auto,duplicate_resolution,,5.0,5.0,,
Atlantic City HS,Atlantic City,NJ.,high_auto,duplicate_resolution,,3.0,5.0,,
Attleboro,Attleboro,Mass,high_auto,duplicate_resolution,,10.0,10.0,,
Attleboro (SNHU),Attleboro,Mass,high_auto,duplicate_resolution,,2.0,10.0,,
Aubrey,Aubrey,Texas,high_auto,duplicate_resolution,,2.0,2.0,,
Aubrey HS,Aubrey,Texas,high_auto,duplicate_resolution,,1.0,2.0,,
Auburn HS,Auburn HS,Ala,high_auto,duplicate_resolution,,11.0,11.0,,
Auburn High School,Auburn HS,Ala,high_auto,duplicate_resolution,,2.0,11.0,,
Auburn Mountainview,Auburn Mountainview,Wash,high_auto,duplicate_resolution,,5.0,5.0,,
Auburn Mountainview HS,Auburn Mountainview,Wash,high_auto,duplicate_resolution,,4.0,5.0,,
Auburn Riverside HS,Auburn Riverside HS,Wash,high_auto,duplicate_resolution,,2.0,2.0,,
Auburn Riverside,Auburn Riverside HS,Wash,high_auto,duplicate_resolution,,1.0,2.0,,
Aurora,Aurora,Ohio,high_auto,duplicate_resolution,,17.0,17.0,,
Aurora High School,Aurora,Ohio,high_auto,duplicate_resolution,,1.0,17.0,,
Aurora Christian HS,Aurora Christian HS,Ill,high_auto,duplicate_resolution,,3.0,3.0,,
Aurora Christian,Aurora Christian HS,Ill,high_auto,duplicate_resolution,,1.0,3.0,,
Austin,Austin,Texas,high_auto,duplicate_resolution,,9.0,9.0,,
Austin HS,Austin,Texas,high_auto,duplicate_resolution,,7.0,9.0,,
Austin High School,Austin,Texas,high_auto,duplicate_resolution,,1.0,9.0,,
Averill Park,Averill Park,NY.,high_auto,duplicate_resolution,,27.0,27.0,,
Averill Park HS,Averill Park,NY.,high_auto,duplicate_resolution,,2.0,27.0,,
Avon,Avon,Ind,high_auto,duplicate_resolution,,39.0,39.0,,
Avon HS,Avon,Ind,high_auto,duplicate_resolution,,3.0,39.0,,
Avon High School,AVon High School,Ohio,high_auto,duplicate_resolution,,1.0,1.0,,
AVon High School,AVon High School,Ohio,high_auto,duplicate_resolution,,1.0,1.0,,
Avondale HS,Avondale HS,Mich,high_auto,duplicate_resolution,,4.0,4.0,,
Avondale,Avondale HS,Mich,high_auto,duplicate_resolution,,2.0,4.0,,
Badin,Badin,Ohio,high_auto,duplicate_resolution,,6.0,6.0,,
Badin HS,Badin,Ohio,high_auto,duplicate_resolution,,2.0,6.0,,
Bainbridge HS,Bainbridge HS,Georgia,high_auto,duplicate_resolution,,6.0,6.0,,
Bainbridge High School,Bainbridge HS,Georgia,high_auto,duplicate_resolution,,1.0,6.0,,
Bakersfield HS,Bakersfield HS,Calif,high_auto,duplicate_resolution,,9.0,9.0,,
Bakersfield High School,Bakersfield HS,Calif,high_auto,duplicate_resolution,,6.0,9.0,,
Bakersfield,Bakersfield HS,Calif,high_auto,duplicate_resolution,,4.0,9.0,,
Bakersfield Christian HS,Bakersfield Christian HS,Calif,high_auto,duplicate_resolution,,3.0,3.0,,
Bakersfield Christian,Bakersfield Christian HS,Calif,high_auto,duplicate_resolution,,2.0,3.0,,
Baldwin High School,Baldwin High School,NY.,high_auto,duplicate_resolution,,2.0,2.0,,
BALDWIN,Baldwin High School,NY.,high_auto,duplicate_resolution,,1.0,2.0,,
Ballard HS,Ballard HS,Iowa,high_auto,duplicate_resolution,,14.0,14.0,,
Ballard,Ballard HS,Iowa,high_auto,duplicate_resolution,,6.0,14.0,,
Banks County,Banks County,Georgia,high_auto,duplicate_resolution,,2.0,2.0,,
Banks County High School,Banks County,Georgia,high_auto,duplicate_resolution,,1.0,2.0,,
Baraga,Baraga,Mich,high_auto,duplicate_resolution,,7.0,7.0,,
Baraga HS,Baraga,Mich,high_auto,duplicate_resolution,,3.0,7.0,,
Barbe,Barbe,Louisiana,high_auto,duplicate_resolution,,5.0,5.0,,
Barbe HS,Barbe,Louisiana,high_auto,duplicate_resolution,,3.0,5.0,,
Barbers Hill,Barbers Hill,Texas,high_auto,duplicate_resolution,,4.0,4.0,,
Barbers Hill HS,Barbers Hill,Texas,high_auto,duplicate_resolution,,2.0,4.0,,
Barbers Hill High School,Barbers Hill,Texas,high_auto,duplicate_resolution,,1.0,4.0,,
Bardstown HS,Bardstown High School,Kentucky,high_auto,duplicate_resolution,,2.0,2.0,,
Bardstown High School,Bardstown High School,Kentucky,high_auto,duplicate_resolution,,2.0,2.0,,
Bardstown,Bardstown High School,Kentucky,high_auto,duplicate_resolution,,1.0,2.0,,
Barnesville,Barnesville,Minn,high_auto,duplicate_resolution,,5.0,5.0,,
Barnesville HS,Barnesville,Minn,high_auto,duplicate_resolution,,1.0,5.0,,
Barnstable,Barnstable,Mass,high_auto,duplicate_resolution,,6.0,6.0,,
Barnstable High School,Barnstable,Mass,high_auto,duplicate_resolution,,5.0,6.0,,
Barnum,Barnum,Minn,high_auto,duplicate_resolution,,2.0,2.0,,
Barnum H.S.,Barnum,Minn,high_auto,duplicate_resolution,,1.0,2.0,,
Barron Collier,Barron Collier,Florida,high_auto,duplicate_resolution,,3.0,3.0,,
Barron Collier High School,Barron Collier,Florida,high_auto,duplicate_resolution,,1.0,3.0,,
Bartlett HS,Bartlett HS,Tenn,high_auto,duplicate_resolution,,17.0,17.0,,
Bartlett,Bartlett HS,Tenn,high_auto,duplicate_resolution,,12.0,17.0,,
Bartlett High School,Bartlett HS,Tenn,high_auto,duplicate_resolution,,4.0,17.0,,
Bartram Trail,Bartram Trail,Fla,high_auto,duplicate_resolution,,4.0,4.0,,
Bartram Trail HS,Bartram Trail,Fla,high_auto,duplicate_resolution,,1.0,4.0,,
Batesville HS,Batesville HS,Ark,high_auto,duplicate_resolution,,6.0,6.0,,
Batesville,Batesville HS,Ark,high_auto,duplicate_resolution,,2.0,6.0,,
Batesville High School,Batesville HS,Ark,high_auto,duplicate_resolution,,2.0,6.0,,
Battle HS,Battle HS,Missouri,high_auto,duplicate_resolution,,1.0,1.0,,
Battle,Battle HS,Missouri,high_auto,duplicate_resolution,,1.0,1.0,,
Bay Port,Bay Port,Wis,high_auto,duplicate_resolution,,9.0,9.0,,
Bay Port HS,Bay Port,Wis,high_auto,duplicate_resolution,,2.0,9.0,,
Baylor,Baylor HS,Tenn,high_auto,duplicate_resolution,,1.0,1.0,,
Baylor HS,Baylor HS,Tenn,high_auto,duplicate_resolution,,1.0,1.0,,
Bayonne,Bayonne,NJ.,high_auto,duplicate_resolution,,9.0,9.0,,
Bayonne HS,Bayonne,NJ.,high_auto,duplicate_resolution,,6.0,9.0,,
Beacon High School,Beacon High School,NY.,high_auto,duplicate_resolution,,6.0,6.0,,
Beacon,Beacon High School,NY.,high_auto,duplicate_resolution,,2.0,6.0,,
Beacon HS,Beacon High School,NY.,high_auto,duplicate_resolution,,1.0,6.0,,
Beallsville,Beallsville HS,Ohio,high_auto,duplicate_resolution,,1.0,1.0,,
Beallsville HS,Beallsville HS,Ohio,high_auto,duplicate_resolution,,1.0,1.0,,
Bear Creek HS,Bear Creek HS,Calif,high_auto,duplicate_resolution,,7.0,7.0,,
Bear Creek High School,Bear Creek HS,Calif,high_auto,duplicate_resolution,,1.0,7.0,,
Bearden,Bearden,Tenn,high_auto,duplicate_resolution,,11.0,11.0,,
Bearden High School,Bearden,Tenn,high_auto,duplicate_resolution,,9.0,11.0,,
Bearden HS,Bearden,Tenn,high_auto,duplicate_resolution,,5.0,11.0,,
Beaumont,Beaumont,Ohio,high_auto,duplicate_resolution,,14.0,14.0,,
Beaumont HS,Beaumont,Ohio,high_auto,duplicate_resolution,,2.0,14.0,,
Beaver Area,Beaver Area,Pennsylvania,high_auto,duplicate_resolution,,8.0,8.0,,
